insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (1, 2, 27, 'Science', 6);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (23, 2, 37, 'Mathematics', 5);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (24, 5, 44, 'Science', 2);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (25, 6, 36, 'Mathematics', 1);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (26, 15, 56, 'English', 3);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (27, 6, 4, 'Science', 2);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (28, 9, 22, 'Physical Education', 1);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (29, 6, 18, 'Science', 2);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (30, 4, 17, 'History', 5);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (31, 6, 24, 'English', 4);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (32, 12, 27, 'Mathematics', 1);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (33, 12, 6, 'Physical Education', 3);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (34, 3, 19, 'Mathematics', 1);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (35, 15, 17, 'Mathematics', 1);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (36, 3, 43, 'Physical Education', 6);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (37, 20, 39, 'Physical Education', 4);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (38, 7, 59, 'Science', 1);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (39, 3, 38, 'Science', 6);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (40, 5, 33, 'Science', 4);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (41, 2, 17, 'History', 1);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (42, 2, 29, 'Science', 1);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (43, 10, 47, 'Science', 4);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (44, 2, 59, 'Mathematics', 5);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (45, 11, 52, 'History', 4);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (46, 13, 3, 'English', 5);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (47, 19, 55, 'Mathematics', 5);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (48, 5, 43, 'English', 1);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (49, 18, 16, 'Mathematics', 3);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (50, 1, 37, 'Science', 6);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (51, 10, 17, 'Physical Education', 3);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (52, 11, 21, 'Mathematics', 4);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (53, 4, 47, 'Physical Education', 3);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (54, 11, 39, 'Science', 1);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (55, 5, 15, 'Mathematics', 2);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (56, 7, 51, 'History', 6);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (57, 8, 9, 'Physical Education', 1);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (58, 11, 16, 'English', 2);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (59, 10, 9, 'Physical Education', 1);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (60, 17, 40, 'Physical Education', 2);
